Ano;Producao;Consumo;Ano_2;Mes;Chave
1980;0;63;1980;1;1980-1
1981;0;61;1981;1;1981-1
1982;0;60;1982;1;1982-1
1983;0;59;1983;1;1983-1
1984;0;60;1984;1;1984-1
1985;0;60;1985;1;1985-1
1986;61;62;1986;1;1986-1
1987;61;63;1987;1;1987-1
1988;62;65;1988;1;1988-1
1989;64;66;1989;1;1989-1
1990;65;67;1990;1;1990-1
1991;65;67;1991;1;1991-1
1992;65;67;1992;1;1992-1
1993;66;67;1993;1;1993-1
1994;67;68;1994;1;1994-1
1995;68;70;1995;1;1995-1
1996;70;72;1996;1;1996-1
1997;72;73;1997;1;1997-1
1998;72;74;1998;1;1998-1
1999;73;75;1999;1;1999-1
2000;74;77;2000;1;2000-1
2001;75;78;2001;1;2001-1
2002;76;79;2002;1;2002-1
2003;78;80;2003;1;2003-1
2004;80;83;2004;1;2004-1
2005;82;85;2005;1;2005-1
2006;83;86;2006;1;2006-1
2007;83;87;2007;1;2007-1
2008;83;87;2008;1;2008-1
2009;83;86;2009;1;2009-1
2010;85;89;2010;1;2010-1
2011;85;89;2011;1;2011-1
2012;85;91;2012;1;2012-1
2013;86;92;2013;1;2013-1
2014;88;94;2014;1;2014-1
2015;0;95;2015;1;2015-1
2016;0;97;2016;1;2016-1
2017;0;97;2017;1;2017-1
2018;0;100;2018;1;2018-1
2019;0;100;2019;1;2019-1
2020;0;90;2020;1;2020-1
2021;0;96;2021;1;2021-1
2022;0;99;2022;1;2022-1
2023;0;57;2023;1;2023-1
