Data;Valor Petroleo (USD);Mes;Ano;Chave
31/out/24;73,25;10;2024;2024-10
30/out/24;73,21;10;2024;2024-10
29/out/24;71,09;10;2024;2024-10
28/out/24;71,87;10;2024;2024-10
25/out/24;75,62;10;2024;2024-10
24/out/24;74,27;10;2024;2024-10
23/out/24;74,68;10;2024;2024-10
22/out/24;75,59;10;2024;2024-10
21/out/24;73,29;10;2024;2024-10
18/out/24;72,75;10;2024;2024-10
17/out/24;74,37;10;2024;2024-10
16/out/24;73,65;10;2024;2024-10
15/out/24;73,68;10;2024;2024-10
12/out/24;78,47;10;2024;2024-10
11/out/24;80,27;10;2024;2024-10
10/out/24;79,45;10;2024;2024-10
09/out/24;77,06;10;2024;2024-10
08/out/24;78,19;10;2024;2024-10
07/out/24;81,74;10;2024;2024-10
04/out/24;79,32;10;2024;2024-10
03/out/24;77,57;10;2024;2024-10
02/out/24;74,86;10;2024;2024-10
01/out/24;75,3;10;2024;2024-10
30/out/23;90,73;10;2023;2023-10
27/out/23;90,73;10;2023;2023-10
26/out/23;88,45;10;2023;2023-10
25/out/23;90,14;10;2023;2023-10
24/out/23;88;10;2023;2023-10
23/out/23;91,88;10;2023;2023-10
20/out/23;93,72;10;2023;2023-10
19/out/23;93,12;10;2023;2023-10
18/out/23;91,99;10;2023;2023-10
17/out/23;92,52;10;2023;2023-10
16/out/23;90,99;10;2023;2023-10
13/out/23;94,33;10;2023;2023-10
12/out/23;88,4;10;2023;2023-10
11/out/23;87,58;10;2023;2023-10
10/out/23;90,7;10;2023;2023-10
09/out/23;91,37;10;2023;2023-10
06/out/23;87,86;10;2023;2023-10
05/out/23;88,28;10;2023;2023-10
04/out/23;89,83;10;2023;2023-10
03/out/23;94,46;10;2023;2023-10
02/out/23;91,21;10;2023;2023-10
31/out/22;93,3;10;2022;2022-10
28/out/22;94,64;10;2022;2022-10
27/out/22;94,17;10;2022;2022-10
26/out/22;92,93;10;2022;2022-10
25/out/22;91,76;10;2022;2022-10
24/out/22;91,57;10;2022;2022-10
21/out/22;91,82;10;2022;2022-10
20/out/22;91,52;10;2022;2022-10
19/out/22;91,34;10;2022;2022-10
18/out/22;89,46;10;2022;2022-10
17/out/22;91,04;10;2022;2022-10
14/out/22;92,22;10;2022;2022-10
13/out/22;95,16;10;2022;2022-10
12/out/22;93,44;10;2022;2022-10
11/out/22;95,17;10;2022;2022-10
10/out/22;97,13;10;2022;2022-10
07/out/22;98,88;10;2022;2022-10
06/out/22;95,65;10;2022;2022-10
05/out/22;94,35;10;2022;2022-10
04/out/22;93,74;10;2022;2022-10
03/out/22;90,68;10;2022;2022-10
29/out/21;83,1;10;2021;2021-10
28/out/21;83,4;10;2021;2021-10
27/out/21;84,12;10;2021;2021-10
26/out/21;85,11;10;2021;2021-10
25/out/21;84,85;10;2021;2021-10
22/out/21;85,43;10;2021;2021-10
21/out/21;84,58;10;2021;2021-10
20/out/21;85,76;10;2021;2021-10
19/out/21;85,02;10;2021;2021-10
18/out/21;84,13;10;2021;2021-10
15/out/21;84,67;10;2021;2021-10
14/out/21;83,86;10;2021;2021-10
13/out/21;83,53;10;2021;2021-10
12/out/21;83,53;10;2021;2021-10
11/out/21;83,75;10;2021;2021-10
08/out/21;82,17;10;2021;2021-10
07/out/21;82,34;10;2021;2021-10
06/out/21;81,39;10;2021;2021-10
05/out/21;82,72;10;2021;2021-10
04/out/21;81,44;10;2021;2021-10
01/out/21;79,4;10;2021;2021-10
30/out/20;36,33;10;2020;2020-10
29/out/20;36,56;10;2020;2020-10
