Data;Producao;Prod (Mb/d);Ano;Mes;Chave
1993;66906,949;66,906949;1993;1;1993-1
1993;67167,756;67,167756;1993;2;1993-2
1993;66038,889;66,038889;1993;3;1993-3
1993;65740,441;65,740441;1993;4;1993-4
1993;65598,901;65,598901;1993;5;1993-5
1993;65365,926;65,365926;1993;6;1993-6
1993;66008,115;66,008115;1993;7;1993-7
1993;65785,375;65,785375;1993;8;1993-8
1993;66267,798;66,267798;1993;9;1993-9
1993;66932,833;66,932833;1993;10;1993-10
1993;67275,232;67,275232;1993;11;1993-11
1993;67014,189;67,014189;1993;12;1993-12
1994;68644,521;68,644521;1994;1;1994-1
1994;67904,421;67,904421;1994;2;1994-2
1994;67828,363;67,828363;1994;3;1994-3
1994;67568,068;67,568068;1994;4;1994-4
1994;67739,478;67,739478;1994;5;1994-5
1994;68349,817;68,349817;1994;6;1994-6
1994;68275,803;68,275803;1994;7;1994-7
1994;67356,306;67,356306;1994;8;1994-8
1994;68580,566;68,580566;1994;9;1994-9
1994;69160,525;69,160525;1994;10;1994-10
1994;69441,701;69,441701;1994;11;1994-11
1994;69970,069;69,970069;1994;12;1994-12
1995;69526,417;69,526417;1995;1;1995-1
1995;69911,495;69,911495;1995;2;1995-2
1995;69192,534;69,192534;1995;3;1995-3
1995;69823,471;69,823471;1995;4;1995-4
1995;69256,804;69,256804;1995;5;1995-5
1995;68783,554;68,783554;1995;6;1995-6
1995;69811,124;69,811124;1995;7;1995-7
1995;69784,485;69,784485;1995;8;1995-8
1995;70123,135;70,123135;1995;9;1995-9
1995;69739,796;69,739796;1995;10;1995-10
1995;70530,093;70,530093;1995;11;1995-11
1995;70402,165;70,402165;1995;12;1995-12
1996;70673,594;70,673594;1996;1;1996-1
1996;71154,603;71,154603;1996;2;1996-2
1996;71084,108;71,084108;1996;3;1996-3
1996;70845,541;70,845541;1996;4;1996-4
1996;70552,027;70,552027;1996;5;1996-5
1996;70980,805;70,980805;1996;6;1996-6
1996;71339,208;71,339208;1996;7;1996-7
1996;71260,143;71,260143;1996;8;1996-8
1996;71581,304;71,581304;1996;9;1996-9
1996;71802,442;71,802442;1996;10;1996-10
1996;72547,471;72,547471;1996;11;1996-11
1996;73054,7;73,0547;1996;12;1996-12
1997;72991,49;72,99149;1997;1;1997-1
1997;73462,884;73,462884;1997;2;1997-2
1997;72930,535;72,930535;1997;3;1997-3
